cycle,total_power,modulator_power,router_power,detector_power
0,0.5,0.5,0,0
1,0.5,0.5,0,0
2,1,1,0,0
3,1.2,1,0.2,0
4,1.2,1,0.2,0
5,1.7,1.5,0.2,0
6,1.7,1.5,0.2,0
7,1.7,1.5,0.2,0
8,1.7,1.5,0.2,0
9,1.7,1.5,0.2,0
10,1.7,1.5,0.2,0
11,2.2,1.5,0.4,0.3
12,2.7,2,0.4,0.3
13,2.7,2,0.4,0.3
14,2.7,2,0.4,0.3
15,2.7,2,0.4,0.3
16,2.7,2,0.4,0.3
17,2.7,2,0.4,0.3
18,2.7,2,0.4,0.3
19,3.2,2,0.6,0.6
20,3.7,2.5,0.6,0.6
21,3.7,2.5,0.6,0.6
22,3.7,2.5,0.6,0.6
23,3.7,2.5,0.6,0.6
24,3.7,2.5,0.6,0.6
25,3.7,2.5,0.6,0.6
26,3.7,2.5,0.6,0.6
27,4.2,2.5,0.8,0.9
28,4.2,2.5,0.8,0.9
29,4.2,2.5,0.8,0.9
30,4.2,2.5,0.8,0.9
31,4.2,2.5,0.8,0.9
32,4.2,2.5,0.8,0.9
33,4.2,2.5,0.8,0.9
34,4.2,2.5,0.8,0.9
35,4.7,2.5,1,1.2
36,4.7,2.5,1,1.2
37,4.7,2.5,1,1.2
38,4.7,2.5,1,1.2
39,4.7,2.5,1,1.2
40,4.7,2.5,1,1.2
41,4.7,2.5,1,1.2
42,4.7,2.5,1,1.2
43,5,2.5,1,1.5
44,5.5,3,1,1.5
45,5.5,3,1,1.5
46,5.5,3,1,1.5
47,5.7,3,1.2,1.5
48,6.2,3.5,1.2,1.5
49,6.7,4,1.2,1.5
50,6.7,4,1.2,1.5
51,6.7,4,1.2,1.5
52,6.7,4,1.2,1.5
53,6.7,4,1.2,1.5
54,6.7,4,1.2,1.5
55,7.2,4,1.4,1.8
56,7.7,4.5,1.4,1.8
57,7.7,4.5,1.4,1.8
58,7.7,4.5,1.4,1.8
59,7.7,4.5,1.4,1.8
