cycle,total_heat,modulator_heat,router_heat,detector_heat
0,0.4,0.4,0,0
1,0.4,0.4,0,0
2,0.8,0.8,0,0
3,1,0.8,0.2,0
4,1,0.8,0.2,0
5,1.4,1.2,0.2,0
6,1.4,1.2,0.2,0
7,1.4,1.2,0.2,0
8,1.4,1.2,0.2,0
9,1.4,1.2,0.2,0
10,1.4,1.2,0.2,0
11,1.6,1.2,0.4,0
12,2,1.6,0.4,0
13,2,1.6,0.4,0
14,2,1.6,0.4,0
15,2,1.6,0.4,0
16,2,1.6,0.4,0
17,2,1.6,0.4,0
18,2,1.6,0.4,0
19,2.2,1.6,0.6,0
20,2.6,2,0.6,0
21,2.6,2,0.6,0
22,2.6,2,0.6,0
23,2.6,2,0.6,0
24,2.6,2,0.6,0
25,2.6,2,0.6,0
26,2.6,2,0.6,0
27,2.8,2,0.8,0
28,2.8,2,0.8,0
29,2.8,2,0.8,0
30,2.8,2,0.8,0
31,2.8,2,0.8,0
32,2.8,2,0.8,0
33,2.8,2,0.8,0
34,2.8,2,0.8,0
35,3,2,1,0
36,3,2,1,0
37,3,2,1,0
38,3,2,1,0
39,3,2,1,0
40,3,2,1,0
41,3,2,1,0
42,3,2,1,0
43,3,2,1,0
44,3.4,2.4,1,0
45,3.4,2.4,1,0
46,3.4,2.4,1,0
47,3.6,2.4,1.2,0
48,4,2.8,1.2,0
49,4.4,3.2,1.2,0
50,4.4,3.2,1.2,0
51,4.4,3.2,1.2,0
52,4.4,3.2,1.2,0
53,4.4,3.2,1.2,0
54,4.4,3.2,1.2,0
55,4.6,3.2,1.4,0
56,5,3.6,1.4,0
57,5,3.6,1.4,0
58,5,3.6,1.4,0
59,5,3.6,1.4,0
60,5,3.6,1.4,0
61,5,3.6,1.4,0
62,5,3.6,1.4,0
63,5.2,3.6,1.6,0
64,5.6,4,1.6,0
65,5.6,4,1.6,0
66,5.6,4,1.6,0
67,5.6,4,1.6,0
68,5.6,4,1.6,0
69,5.6,4,1.6,0
70,5.6,4,1.6,0
71,5.8,4,1.8,0
72,6.2,4.4,1.8,0
73,6.2,4.4,1.8,0
74,6.2,4.4,1.8,0
75,6.2,4.4,1.8,0
76,6.2,4.4,1.8,0
77,6.2,4.4,1.8,0
78,6.2,4.4,1.8,0
79,6.4,4.4,2,0
80,6.4,4.4,2,0
81,6.4,4.4,2,0
82,6.4,4.4,2,0
83,6.4,4.4,2,0
84,6.4,4.4,2,0
85,6.4,4.4,2,0
86,6.4,4.4,2,0
87,6.6,4.4,2.2,0
88,6.6,4.4,2.2,0
89,6.6,4.4,2.2,0
90,6.6,4.4,2.2,0
91,6.6,4.4,2.2,0
92,6.6,4.4,2.2,0
93,6.6,4.4,2.2,0
94,6.6,4.4,2.2,0
95,6.6,4.4,2.2,0
96,6.6,4.4,2.2,0
97,6.6,4.4,2.2,0
98,6.6,4.4,2.2,0
99,7.4,5.2,2.2,0
100,7.4,5.2,2.2,0
101,7.4,5.2,2.2,0
102,7.6,5.2,2.4,0
103,8,5.6,2.4,0
104,8,5.6,2.4,0
105,8,5.6,2.4,0
106,8,5.6,2.4,0
107,8,5.6,2.4,0
108,8,5.6,2.4,0
109,8,5.6,2.4,0
110,8.2,5.6,2.6,0
111,8.6,6,2.6,0
112,8.6,6,2.6,0
113,8.6,6,2.6,0
114,8.6,6,2.6,0
115,8.6,6,2.6,0
116,8.6,6,2.6,0
117,8.6,6,2.6,0
118,8.8,6,2.8,0
119,8.8,6,2.8,0
120,9.2,6.4,2.8,0
121,9.2,6.4,2.8,0
122,9.2,6.4,2.8,0
123,9.2,6.4,2.8,0
124,9.2,6.4,2.8,0
125,9.2,6.4,2.8,0
126,9.4,6.4,3,0
127,9.4,6.4,3,0
128,9.4,6.4,3,0
129,9.4,6.4,3,0
130,9.4,6.4,3,0
131,9.4,6.4,3,0
132,9.4,6.4,3,0
133,9.4,6.4,3,0
134,9.6,6.4,3.2,0
135,9.6,6.4,3.2,0
136,9.6,6.4,3.2,0
137,9.6,6.4,3.2,0
138,9.6,6.4,3.2,0
139,9.6,6.4,3.2,0
140,9.6,6.4,3.2,0
141,9.6,6.4,3.2,0
142,10,6.8,3.2,0
143,10,6.8,3.2,0
144,10,6.8,3.2,0
145,10.2,6.8,3.4,0
146,10.6,7.2,3.4,0
147,11,7.6,3.4,0
148,11,7.6,3.4,0
149,11,7.6,3.4,0
150,11,7.6,3.4,0
151,11,7.6,3.4,0
152,11,7.6,3.4,0
153,11.2,7.6,3.6,0
154,11.6,8,3.6,0
155,11.6,8,3.6,0
156,11.6,8,3.6,0
157,11.6,8,3.6,0
158,11.6,8,3.6,0
159,11.6,8,3.6,0
160,11.6,8,3.6,0
161,11.8,8,3.8,0
162,12.2,8.4,3.8,0
163,12.2,8.4,3.8,0
164,12.2,8.4,3.8,0
165,12.2,8.4,3.8,0
166,12.2,8.4,3.8,0
167,12.2,8.4,3.8,0
168,12.2,8.4,3.8,0
169,12.4,8.4,4,0
170,12.4,8.4,4,0
171,12.8,8.8,4,0
172,12.8,8.8,4,0
173,12.8,8.8,4,0
174,12.8,8.8,4,0
175,12.8,8.8,4,0
176,12.8,8.8,4,0
177,13,8.8,4.2,0
178,13,8.8,4.2,0
179,13,8.8,4.2,0
180,13,8.8,4.2,0
181,13.4,9.2,4.2,0
182,13.4,9.2,4.2,0
183,13.4,9.2,4.2,0
184,13.4,9.2,4.2,0
185,13.6,9.2,4.4,0
186,13.6,9.2,4.4,0
187,13.6,9.2,4.4,0
188,13.6,9.2,4.4,0
189,13.6,9.2,4.4,0
190,13.6,9.2,4.4,0
191,13.6,9.2,4.4,0
192,13.6,9.2,4.4,0
193,13.8,9.2,4.6,0
194,14.2,9.6,4.6,0
195,14.2,9.6,4.6,0
196,14.2,9.6,4.6,0
197,14.6,10,4.6,0
198,14.6,10,4.6,0
199,14.6,10,4.6,0
200,14.6,10,4.6,0
201,14.8,10,4.8,0
202,15.2,10.4,4.8,0
203,15.2,10.4,4.8,0
204,15.2,10.4,4.8,0
205,15.2,10.4,4.8,0
206,15.2,10.4,4.8,0
207,15.2,10.4,4.8,0
208,15.2,10.4,4.8,0
209,15.4,10.4,5,0
210,15.8,10.8,5,0
211,15.8,10.8,5,0
212,15.8,10.8,5,0
213,15.8,10.8,5,0
214,15.8,10.8,5,0
215,15.8,10.8,5,0
216,15.8,10.8,5,0
