packet_id,last_tag,last_cycle_seen,last_line
0-108,Other,,L->R  [0: :0-113] [1: :0-113] [2:V:0-113] [3: :0-108]
0-110,Never seen,,
0-164,Never seen,,
0-184,Never seen,,
0-193,Other,,"IP block 2 received packet 0-193 from   0,  0"
0-232,Never seen,,
0-234,Never seen,,
0-238,Never seen,,
0-242,Never seen,,
0-246,Never seen,,
0-304,Never seen,,
0-323,Never seen,,
0-338,Never seen,,
0-350,FIFO,,Local FIFO c=2 h=3 t=3  : 0-350(d=2) 0-353(d=2) x x
0-354,Never seen,,
0-363,Never seen,,
0-377,Never seen,,
0-383,Never seen,,
0-387,FIFO,,Local FIFO c=3 h=2 t=3  : 0-402(d=2) 0-387(d=1) 0-390(d=1) x
0-399,Never seen,,
0-465,Never seen,,
0-474,Never seen,,
0-480,Never seen,,
0-482,FIFO,,Local FIFO c=3 h=3 t=1  : 0-487(d=1) 0-489(d=2) 0-482(d=1) x
0-493,Never seen,,
0-76,FIFO,,Local FIFO c=2 h=3 t=3  : 0-76(d=1) 0-82(d=1) x x
0-82,FIFO,,Local FIFO c=3 h=3 t=0  : 0-90(d=2) 0-82(d=1) 0-86(d=2) x
0-86,FIFO,,Local FIFO c=3 h=0 t=1  : 0-93(d=2) 0-86(d=2) 0-88(d=2) x
0-88,FIFO,,Local FIFO c=3 h=1 t=2  : 0-96(d=2) 0-88(d=2) 0-90(d=2) x
0-94,Never seen,,
0-96,FIFO,,Local FIFO c=3 h=0 t=1  : 0-111(d=1) 0-96(d=2) 0-101(d=2) x
1-137,Other,,Router 1 enqueueing 1-137
1-140,Other,,Router 1 enqueueing 1-140
1-142,Never seen,,
1-146,Never seen,,
1-157,Never seen,,
1-159,Never seen,,
1-16,Other,,"IP block 2 received packet 1-169 from   1,  0"
1-18,Router,,"R->L  [0: :1-191] [1: :1-191] [2:V:1-191] [3: :1-183]  Connecting router 0,2 with router 1,3"
1-22,Router,,"R->L  [0: :1-235] [1: :1-235] [2:V:1-235] [3: :1-221]  Connecting router 0,2 with router 1,3"
1-227,Never seen,,
1-233,Never seen,,
1-235,Router,,"R->L  [0: :1-241] [1: :1-241] [2:V:1-241] [3: :1-235]  Connecting router 0,2 with router 1,3"
1-237,Other,,L->R  [0: :1-239] [1: :1-239] [2:V:1-239] [3: :1-237]
1-239,Other,,L->R  [0: :0-227] [1: :0-227] [2:V:0-227] [3: :1-239]
1-248,Never seen,,
1-26,Other,,"IP block 2 received packet 1-269 from   1,  0"
1-268,Never seen,,
1-289,Never seen,,
1-313,Never seen,,
1-315,Never seen,,
1-32,Other,,L->R  [0: :0-374] [1: :0-374] [2:V:0-374] [3: :1-326]
1-321,Never seen,,
1-338,Never seen,,
1-340,Never seen,,
1-347,Never seen,,
1-368,Never seen,,
1-392,Never seen,,
1-426,Other,,"IP block 0 received packet 1-426 from   1,  0"
1-439,Never seen,,
1-447,Never seen,,
1-455,Never seen,,
1-457,Never seen,,
1-467,Never seen,,
1-471,Router,,"R->L  [0: :1-484] [1: :1-484] [2:V:1-484] [3: :1-471]  Connecting router 0,2 with router 1,3"
1-474,Never seen,,
1-482,Other,,L->R  [0: :0-425] [1:V:0-425] [2: :1-482] [3: :1-482]
1-484,Waveguide,,"R->L  [0: :1-484] [1: :1-484] [2:V:1-484] [3: :1-471]  Connecting router 0,2 with router 1,3"
1-487,Other,,"Mod 1,3  V:1 ID:1-487Mod 1,3  V:0 ID:1-484"
1-490,Never seen,,
1-492,Never seen,,
1-499,Other,,"IP 1 sending 1-499 to 0,0"
1-82,FIFO,,Local FIFO c=3 h=0 t=0  : 1-82(d=3) 1-84(d=3) 1-86(d=3) x
1-84,Other,,"IP block 0 received packet 1-84 from   1,  0"
1-86,Router,,"R->L  [0: :1-119] [1: :1-119] [2:V:1-119] [3: :1-86]  Connecting router 0,2 with router 1,3"
1-90,Never seen,,
1-95,Never seen,,
2-135,Never seen,,
2-14,FIFO,,Local FIFO c=2 h=0 t=0  : 2-148(d=2) 2-150(d=0) x x
2-167,Never seen,,
2-174,Never seen,,
2-177,Never seen,,
2-180,Never seen,,
2-19,Router,,"R->L  [0: :2-207] [1: :2-207] [2:V:2-207] [3: :2-197]  Connecting router 0,1 with router 2,0"
2-192,Never seen,,
2-21,Other,,L->R  [0: :2-227] [1: :2-227] [2:V:2-227] [3: :2-213]
2-23,Other,,"IP block 1 received packet 2-231 from   0,  1"
2-245,Never seen,,
2-248,Never seen,,
2-254,Never seen,,
2-258,Never seen,,
2-26,Router,,"R->L  [0: :3-224] [1: :3-224] [2:V:3-224] [3: :2-261]  Connecting router 0,1 with router 2,0"
2-269,Never seen,,
2-297,Never seen,,
2-300,Never seen,,
2-304,Never seen,,
2-321,Never seen,,
2-324,Never seen,,
2-326,Never seen,,
2-354,Never seen,,
2-434,Never seen,,
2-454,Never seen,,
2-463,Never seen,,
2-469,Never seen,,
2-471,Never seen,,
2-7,Router,,"R->L  [0: :3-106] [1: :3-106] [2:V:3-106] [3: :2-74]  Connecting router 1,1 with router 3,0"
