packet_id,seen_in_waveguide,last_cycle_seen,last_tag,last_line
0-108,False,,Never seen,
0-110,False,,Never seen,
0-164,False,,Never seen,
0-184,False,,Never seen,
0-193,False,,Never seen,
0-232,False,,Never seen,
0-234,False,,Never seen,
0-238,False,,Never seen,
0-242,False,,Never seen,
0-246,False,,Never seen,
0-304,False,,Never seen,
0-323,False,,Never seen,
0-338,False,,Never seen,
0-350,False,,Never seen,
0-354,False,,Never seen,
0-363,False,,Never seen,
0-377,False,,Never seen,
0-383,False,,Never seen,
0-387,False,,Never seen,
0-399,False,,Never seen,
0-465,False,,Never seen,
0-474,False,,Never seen,
0-480,False,,Never seen,
0-482,False,,Never seen,
0-493,False,,Never seen,
0-76,False,,Never seen,
0-82,False,,Never seen,
0-86,False,,Never seen,
0-88,False,,Never seen,
0-94,False,,Never seen,
0-96,False,,Never seen,
1-137,False,,Never seen,
1-140,False,,Never seen,
1-142,False,,Never seen,
1-146,False,,Never seen,
1-157,False,,Never seen,
1-159,False,,Never seen,
1-16,False,,Never seen,
1-18,True,,Other,L->R  [0: :1-270] [1: :1-270] [2:V:1-270] [3: :1-184]
1-22,True,,Other,L->R  [0: :1-243] [1: :1-243] [2:V:1-243] [3: :1-228]
1-227,False,,Never seen,
1-233,False,,Never seen,
1-235,False,,Never seen,
1-237,False,,Never seen,
1-239,False,,Never seen,
1-248,False,,Never seen,
1-26,False,,Never seen,
1-268,False,,Never seen,
1-289,True,,Other,"IP block 2 received packet 1-289 from   1,  0"
1-313,True,,FIFO,East FIFO c=3 h=0 t=2   : 1-409(d=1) 1-415(d=-1) 1-313(d=-1) x
1-315,False,,Never seen,
1-32,True,,Other,"IP block 2 received packet 1-32 from   1,  0"
1-321,False,,Never seen,
1-338,False,,Never seen,
1-340,False,,Never seen,
1-347,False,,Never seen,
1-368,False,,Never seen,
1-392,False,,Never seen,
1-426,False,,Never seen,
1-439,False,,Never seen,
1-447,False,,Never seen,
1-455,False,,Never seen,
1-457,False,,Never seen,
1-467,False,,Never seen,
1-471,False,,Never seen,
1-474,True,,Other,L->R  [0: :1-474] [1: :1-474] [2: :1-474] [3: :1-474]
1-482,False,,Never seen,
1-484,True,,Waveguide,"R->L  [0: :1-484] [1:V:1-484] [2: :1-479] [3: :1-479]  Connecting router 0,2 with router 1,3"
1-487,False,,Never seen,
1-490,False,,Never seen,
1-492,False,,Never seen,
1-499,False,,Never seen,
1-82,False,,Never seen,
1-84,False,,Never seen,
1-86,False,,Never seen,
1-90,False,,Never seen,
1-95,False,,Never seen,
2-135,False,,Never seen,
2-14,True,,Other,"IP block 0 received packet 2-147 from   0,  1"
2-167,False,,Never seen,
2-174,True,,Other,"IP block 0 received packet 2-174 from   0,  1"
2-177,True,,Other,"IP block 0 received packet 2-177 from   0,  1"
2-180,True,,Other,"IP block 3 received packet 2-180 from   0,  1"
2-19,True,,Other,"IP block 1 received packet 2-195 from   0,  1"
2-192,False,,Never seen,
2-21,False,,Never seen,
2-23,False,,Never seen,
2-245,False,,Never seen,
2-248,False,,Never seen,
2-254,False,,Never seen,
2-258,False,,Never seen,
2-26,True,,Router,"R->L  [0: :3-334] [1: :3-334] [2:V:3-334] [3: :2-264]  Connecting router 1,1 with router 3,0"
2-269,False,,Never seen,
2-297,False,,Never seen,
2-300,False,,Never seen,
2-304,False,,Never seen,
2-321,True,,Other,"IP block 0 received packet 2-321 from   0,  1"
2-324,False,,Never seen,
2-326,False,,Never seen,
2-354,False,,Never seen,
2-434,False,,Never seen,
2-454,False,,Never seen,
2-463,False,,Never seen,
2-469,False,,Never seen,
2-471,False,,Never seen,
2-7,True,,Other,"IP block 3 received packet 2-77 from   0,  1"
2-82,False,,Never seen,
3-119,False,,Never seen,
3-122,False,,Never seen,
3-125,False,,Never seen,
3-127,False,,Never seen,
3-131,False,,Never seen,
3-180,False,,Never seen,
3-187,True,,Router,"R->L  [0: :3-198] [1: :3-198] [2:V:3-198] [3: :3-187]  Connecting router 0,1 with router 2,0"
3-189,False,,Never seen,
3-193,True,,Router,"R->L  [0: :2-133] [1: :2-133] [2:V:2-133] [3: :3-193]  Connecting router 1,1 with router 3,0"
3-197,False,,Never seen,
3-227,False,,Never seen,
3-229,False,,Never seen,
3-235,False,,Never seen,
3-238,False,,Never seen,
3-271,False,,Never seen,
3-275,False,,Never seen,
3-278,False,,Never seen,
3-285,True,,Other,"IP block 2 received packet 3-285 from   1,  1"
3-340,True,,Other,"IP block 2 received packet 3-340 from   1,  1"
3-356,False,,Never seen,
3-359,False,,Never seen,
3-361,False,,Never seen,
3-366,False,,Never seen,
3-397,True,,Router,"R->L  [0: :2-437] [1: :2-437] [2:V:2-437] [3: :3-397]  Connecting router 0,1 with router 2,0"
3-399,True,,Other,"IP block 2 received packet 3-399 from   1,  1"
3-419,False,,Never seen,
3-421,False,,Never seen,
3-425,False,,Never seen,
3-433,False,,Never seen,
3-457,False,,Never seen,
3-460,False,,Never seen,
3-467,False,,Never seen,
3-469,False,,Never seen,
3-473,False,,Never seen,
3-478,False,,Never seen,
3-484,False,,Never seen,
3-486,False,,Never seen,
3-488,False,,Never seen,
3-497,False,,Never seen,
3-79,True,,Router,"R->L  [0: :3-104] [1: :3-104] [2:V:3-104] [3: :3-79]  Connecting router 0,1 with router 2,0"
3-86,False,,Never seen,
