packet_id,seen_in_waveguide,last_cycle_seen,last_tag,last_line
0-108,False,,FIFO,Local FIFO c=3   : 0-116(d=1) 0-119(d=2) 0-108(d=1) x
0-110,False,,FIFO,Local FIFO c=3   : 0-119(d=2) 0-123(d=2) 0-110(d=1) x
0-164,False,,FIFO,Local FIFO c=4   : 0-164(d=1) 0-168(d=2) 0-174(d=2) 0-154(d=2)
0-184,False,,FIFO,Local FIFO c=4   : 0-184(d=1) 0-189(d=1) 0-191(d=2) 0-193(d=1)
0-193,False,,FIFO,Local FIFO c=2   : 0-193(d=1) 0-207(d=2) x x
0-232,False,,FIFO,Local FIFO c=3   : 0-232(d=1) 0-234(d=1) 0-238(d=2) x
0-234,False,,FIFO,Local FIFO c=3   : 0-234(d=1) 0-238(d=2) 0-242(d=2) x
0-238,False,,FIFO,Local FIFO c=3   : 0-238(d=2) 0-242(d=2) 0-246(d=1) x
0-242,False,,FIFO,Local FIFO c=3   : 0-242(d=2) 0-246(d=1) 0-250(d=2) x
0-246,False,,FIFO,Local FIFO c=3   : 0-246(d=1) 0-250(d=2) 0-255(d=1) x
0-304,False,,FIFO,Local FIFO c=3   : 0-304(d=2) 0-308(d=2) 0-315(d=2) x
0-323,False,,FIFO,Local FIFO c=2   : 0-323(d=1) 0-331(d=2) x x
0-338,False,,FIFO,Local FIFO c=2   : 0-359(d=1) 0-338(d=1) x x
0-350,False,,Other,"IP 0 sending 0-350 to 1,0"
0-354,False,,FIFO,Local FIFO c=3   : 0-354(d=1) 0-331(d=2) 0-338(d=1) x
0-363,False,,FIFO,Local FIFO c=1   : 0-363(d=1) x x x
0-377,False,,FIFO,Local FIFO c=2   : 0-377(d=2) 0-380(d=2) x x
0-383,False,,FIFO,Local FIFO c=1   : 0-383(d=2) x x x
0-387,False,,FIFO,Local FIFO c=2   : 0-401(d=2) 0-387(d=1) x x
0-399,False,,FIFO,Local FIFO c=3   : 0-405(d=2) 0-407(d=2) 0-399(d=1) x
0-465,True,,Waveguide,L->R  [0: :0-465] [1: :0-465] [2: :0-465] [3:V:0-465]
0-474,True,,Waveguide,L->R  [0: :0-474] [1: :0-474] [2: :0-474] [3:V:0-474]
0-480,False,,FIFO,Local FIFO c=4   : 0-480(d=2) 0-482(d=2) 0-493(d=2) 0-474(d=2)
0-482,False,,FIFO,Local FIFO c=4   : 0-480(d=2) 0-482(d=2) 0-493(d=2) 0-474(d=2)
0-493,False,,FIFO,Local FIFO c=4   : 0-480(d=2) 0-482(d=2) 0-493(d=2) 0-474(d=2)
0-76,False,,FIFO,Local FIFO c=2   : 0-76(d=1) 0-82(d=1) x x
0-82,False,,FIFO,Local FIFO c=2   : 0-82(d=1) 0-86(d=2) x x
0-86,False,,FIFO,Local FIFO c=3   : 0-96(d=1) 0-86(d=2) 0-88(d=2) x
0-88,False,,FIFO,Local FIFO c=2   : 0-88(d=2) 0-94(d=1) x x
0-94,False,,FIFO,Local FIFO c=3   : 0-106(d=2) 0-94(d=1) 0-96(d=1) x
0-96,False,,FIFO,Local FIFO c=2   : 0-108(d=1) 0-96(d=1) x x
1-137,False,,Other,"IP 1 sending 1-137 to 1,1"
1-140,False,,Other,"IP 1 sending 1-140 to 1,1"
1-142,False,,Other,"IP 1 sending 1-142 to 0,1"
1-146,False,,Other,"IP 1 sending 1-146 to 0,1"
1-157,False,,FIFO,Local FIFO c=2   : 1-157(d=1) 1-159(d=1) x x
1-159,False,,FIFO,Local FIFO c=3   : 1-159(d=1) 1-170(d=3) 1-172(d=1) x
1-16,False,,FIFO,Local FIFO c=2   : 1-16(d=3) 1-18(d=1) x x
