Line,FIFO,Count,Head,Tail
658,Local,0,1,2
723,Local,0,1,2
731,Local,0,2,3
787,Local,1,1,3
795,Local,0,2,3
850,Local,1,1,3
858,Local,0,2,3
913,Local,2,1,0
921,Local,0,2,3
977,Local,2,1,0
985,Local,0,2,3
1043,Local,3,1,1
1051,Local,1,2,0
1108,Local,3,1,1
1116,Local,1,2,0
1172,Local,2,2,1
1180,Local,2,2,1
1235,Local,2,2,1
1243,Local,2,2,1
1300,Local,3,2,2
1308,Local,2,2,1
1366,Local,2,3,2
1374,Local,1,3,1
1431,Local,3,3,3
1439,Local,1,3,1
1494,Local,3,3,3
1502,Local,2,3,2
1558,Local,3,3,3
1566,Local,1,0,2
1625,Local,3,3,3
1633,Local,0,1,3
1691,Local,2,0,0
1699,Local,0,1,3
1755,Local,2,0,0
1763,Local,1,1,0
1817,Local,2,0,0
1825,Local,1,1,0
1883,Local,1,1,0
1891,Local,1,1,0
1894,East,1,1,3
1948,Local,2,1,1
1956,Local,2,1,1
1959,East,1,1,3
2014,Local,2,1,1
2022,Local,2,1,1
2025,East,1,1,3
2078,Local,3,1,2
2086,Local,2,1,1
2089,East,1,1,3
2141,Local,3,1,2
2149,Local,2,1,1
2152,East,0,2,3
2206,Local,2,2,3
2214,Local,2,1,1
2217,East,0,2,3
2271,Local,2,2,3
2279,Local,3,1,2
2282,East,0,2,3
2333,Local,3,2,0
2341,Local,3,1,2
2344,East,0,2,3
2396,Local,3,2,0
2404,Local,3,1,2
2407,East,0,2,3
2462,Local,2,3,0
2470,Local,4,1,3
2473,East,1,2,0
2527,Local,3,3,1
2535,Local,4,1,3
2538,East,1,2,0
2588,Local,3,3,1
2596,Local,4,1,3
2599,East,1,2,0
2651,Local,2,0,1
2659,Local,3,2,3
2662,East,0,3,0
2714,Local,2,0,1
2722,Local,3,2,3
2725,East,1,3,1
2779,Local,3,0,2
2787,Local,3,2,3
2790,East,1,3,1
2844,Local,3,0,2
2852,Local,4,2,0
2855,East,1,3,1
2908,Local,3,0,2
2916,Local,4,2,0
2919,East,0,0,1
2979,Local,4,2,0
2982,East,1,0,2
3041,Local,4,2,0
3044,East,1,0,2
3102,Local,4,2,0
3105,East,1,0,2
3164,Local,4,2,0
3167,East,0,1,2
3226,Local,4,2,0
3229,East,0,1,2
3291,Local,4,2,0
3294,East,0,1,2
3353,Local,4,2,0
3356,East,0,1,2
3415,Local,3,3,0
3418,East,0,1,2
3478,Local,3,3,0
